Core Power License 0: Core cycles where the core was running with power-delivery for baseline license level 0.  This includes non-AVX codes, SSE, AVX 128-bit, and low-current AVX 256-bit codes.
Core Power License 1: Core cycles where the core was running with power-delivery for license level 1.  This includes high current AVX 256-bit instructions as well as low current AVX 512-bit instructions.
Core Power License 2: Core cycles where the core was running with power-delivery for license level 2 (introduced in Skylake Server michroarchtecture). This includes high current AVX 512-bit instructions.
,,S0,S0,S0,S0,S0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0CH5,S0CH5,S0CH5,S0CH5,S0CH5,S0CH5,S0CH5,S0CH5,S0,S0,S0,S0,S0,S0,S0,
Date,Time,Uncore Freq(Ghz),Core Freq(Ghz),Core Power License 0(%),Core Power License 1(%),Core Power License 2(%),DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,Consumed energy units,Consumed Joules,Watts,Thermal headroom below TjMax(°C),Consumed DRAM energy units,Consumed DRAM Joules,DRAM Watts,
2026-01-27,17:36:01.125,2.00,1.47,100.00,0.00,0.00,1198140606,0.00,-1,-1,1198140606,0.00,-1,-1,1198163732,0.00,-1,-1,1198163732,0.00,-1,-1,1198186447,0.00,-1,-1,1198186447,0.00,-1,-1,1198208862,0.00,-1,-1,1198208862,0.00,-1,-1,1197961316,100.00,-1,-1,1197961316,100.00,-1,-1,1197970758,100.00,-1,-1,1197970758,100.00,-1,-1,486607,29.70,29.76,46,243885,3.73,3.74,
2026-01-27,17:36:02.125,2.00,1.48,100.00,0.00,0.00,1197757206,0.00,-1,-1,1197757206,0.00,-1,-1,1197756685,0.00,-1,-1,1197756685,0.00,-1,-1,1197756416,0.00,-1,-1,1197756416,0.00,-1,-1,1197756307,0.00,-1,-1,1197756307,0.00,-1,-1,1197378944,100.00,-1,-1,1197378944,100.00,-1,-1,1197379983,100.00,-1,-1,1197379983,100.00,-1,-1,484262,29.56,29.62,46,243821,3.73,3.74,
2026-01-27,17:36:03.126,2.00,1.47,100.00,0.00,0.00,1198035221,0.00,-1,-1,1198035221,0.00,-1,-1,1198035665,0.00,-1,-1,1198035665,0.00,-1,-1,1198035768,0.00,-1,-1,1198035768,0.00,-1,-1,1198036008,0.00,-1,-1,1198036008,0.00,-1,-1,1197652437,100.00,-1,-1,1197652437,100.00,-1,-1,1197641388,100.00,-1,-1,1197641388,100.00,-1,-1,484746,29.59,29.65,46,247326,3.78,3.79,
2026-01-27,17:36:04.126,2.00,1.48,100.00,0.00,0.00,1196989993,0.00,-1,-1,1196989993,0.00,-1,-1,1196989752,0.00,-1,-1,1196989752,0.00,-1,-1,1196989963,0.00,-1,-1,1196989963,0.00,-1,-1,1196989977,0.00,-1,-1,1196989977,0.00,-1,-1,1196572946,100.00,-1,-1,1196572946,100.00,-1,-1,1196572631,100.00,-1,-1,1196572631,100.00,-1,-1,484371,29.56,29.62,46,246105,3.77,3.77,
2026-01-27,17:36:05.127,2.00,1.49,100.00,0.00,0.00,1198155239,0.00,-1,-1,1198155239,0.00,-1,-1,1198163226,0.00,-1,-1,1198163226,0.00,-1,-1,1198172774,0.00,-1,-1,1198172774,0.00,-1,-1,1198172664,0.00,-1,-1,1198172664,0.00,-1,-1,1197769911,100.00,-1,-1,1197769911,100.00,-1,-1,1197772959,100.00,-1,-1,1197772959,100.00,-1,-1,484667,29.58,29.64,46,244240,3.74,3.74,
2026-01-27,17:36:06.126,2.00,1.49,100.00,0.00,0.00,1196879202,0.00,-1,-1,1196879202,0.00,-1,-1,1196871589,0.00,-1,-1,1196871589,0.00,-1,-1,1196862286,0.00,-1,-1,1196862286,0.00,-1,-1,1196891004,0.00,-1,-1,1196891004,0.00,-1,-1,1196482743,100.00,-1,-1,1196482743,100.00,-1,-1,1196483916,100.00,-1,-1,1196483916,100.00,-1,-1,484469,29.57,29.66,46,243093,3.72,3.73,
2026-01-27,17:36:07.126,2.00,1.48,100.00,0.00,0.00,1197003672,0.00,-1,-1,1197003672,0.00,-1,-1,1197003318,0.00,-1,-1,1197003318,0.00,-1,-1,1197002826,0.00,-1,-1,1197002826,0.00,-1,-1,1196974185,0.00,-1,-1,1196974185,0.00,-1,-1,1196594892,100.00,-1,-1,1196594892,100.00,-1,-1,1196596154,100.00,-1,-1,1196596154,100.00,-1,-1,485361,29.62,29.68,46,245018,3.75,3.76,
2026-01-27,17:36:08.126,2.00,1.49,100.00,0.00,0.00,1196955175,0.00,-1,-1,1196955175,0.00,-1,-1,1196963133,0.00,-1,-1,1196963133,0.00,-1,-1,1196970804,0.00,-1,-1,1196970804,0.00,-1,-1,1196980026,0.00,-1,-1,1196980026,0.00,-1,-1,1196544548,100.00,-1,-1,1196544548,100.00,-1,-1,1196548305,100.00,-1,-1,1196548305,100.00,-1,-1,484904,29.60,29.69,46,242973,3.72,3.73,
2026-01-27,17:36:09.126,2.00,1.49,100.00,0.00,0.00,1197034182,0.00,-1,-1,1197034182,0.00,-1,-1,1197034070,0.00,-1,-1,1197034070,0.00,-1,-1,1197034055,0.00,-1,-1,1197034055,0.00,-1,-1,1197031787,0.00,-1,-1,1197031787,0.00,-1,-1,1196609559,100.00,-1,-1,1196609559,100.00,-1,-1,1196610697,100.00,-1,-1,1196610697,100.00,-1,-1,484353,29.56,29.62,46,242017,3.70,3.71,
